text,label
Efficient Nearest-Neighbor Query and Clustering of Planar Curves,cs
"A New Design of Cache-aided Multiuser Private Information Retrieval with
  Uncoded Prefetching",cs
"Localization and Mapping of Sparse Geologic Features with Unpiloted
  Aircraft Systems",cs
"Predicting engagement in online social networks: Challenges and
  opportunities",cs
"Scratch that! An Evolution-based Adversarial Attack against Neural
  Networks",cs
Automatic Inference of Minimalist Grammars using an SMT-Solver,cs
Dynamic geometric set cover and hitting set,cs
"Overview of Tasks and Investigation of Subjective Evaluation Methods in
  Environmental Sound Synthesis and Conversion",cs
Bayesian Policy Optimization for Model Uncertainty,cs
"Approximate spectral clustering using both reference vectors and
  topology of the network generated by growing neural gas",cs
Improving GANs for Speech Enhancement,cs
Event Detection as Question Answering with Entity Information,cs
"CascadeTabNet: An approach for end to end table detection and structure
  recognition from image-based documents",cs
"Enhancing the Locality and Breaking the Memory Bottleneck of Transformer
  on Time Series Forecasting",cs
"Interpretation of ResNet by Visualization of Preferred Stimulus in
  Receptive Fields",cs
Knowledge-Based Visual Question Answering in Videos,cs
"Improving Perceptual Quality of Drum Transcription with the Expanded
  Groove MIDI Dataset",cs
"On Intercept Probability Minimization under Sparse Random Linear Network
  Coding",cs
"Determining Principal Component Cardinality through the Principle of
  Minimum Description Length",cs
"Challenges of Bridging the Gap between Mass People and Welfare
  Organizations in Bangladesh",cs
Stochastic Inverse Reinforcement Learning,cs
"BEAR: Sketching BFGS Algorithm for Ultra-High Dimensional Feature
  Selection in Sublinear Memory",cs
The Multiplayer Colonel Blotto Game,cs
Blockchain Storage Load Balancing Among DHT Clustered Nodes,cs
CREATe: Clinical Report Extraction and Annotation Technology,cs
Efficient Bidirectional Neural Machine Translation,cs
"Corona-Warn-App: Erste Ergebnisse einer Onlineumfrage zur
  (Nicht-)Nutzung und Gebrauch",cs
An Attention Mechanism for Musical Instrument Recognition,cs
Adversarial View-Consistent Learning for Monocular Depth Estimation,cs
"Learning Multi-Sense Word Distributions using Approximate
  Kullback-Leibler Divergence",cs
On-device Federated Learning with Flower,cs
ICDAR2019 Competition on Scanned Receipt OCR and Information Extraction,cs
DIRL: Domain-Invariant Representation Learning for Sim-to-Real Transfer,cs
TOMA: Topological Map Abstraction for Reinforcement Learning,cs
Machine Learning for MU-MIMO Receive Processing in OFDM Systems,cs
"Adversarially Robust and Explainable Model Compression with On-Device
  Personalization for Text Classification",cs
Generating and Sampling Orbits for Lifted Probabilistic Inference,cs
"Real-time Joint Motion Analysis and Instrument Tracking for
  Robot-Assisted Orthopaedic Surgery",cs
"TFCheck : A TensorFlow Library for Detecting Training Issues in Neural
  Network Programs",cs
"Managing the Complexity of Processing Financial Data at Scale -- an
  Experience Report",cs
"Can social influence be exploited to compromise security: An online
  experimental evaluation",cs
"Semantic Regularization: Improve Few-shot Image Classification by
  Reducing Meta Shift",cs
Adaptive Initialization Method for K-means Algorithm,cs
"Generalized Jensen-Shannon Divergence Loss for Learning with Noisy
  Labels",cs
"FANG: Leveraging Social Context for Fake News Detection Using Graph
  Representation",cs
Risk of Training Diagnostic Algorithms on Data with Demographic Bias,cs
"A Technical Report for Light-Edge: A Lightweight Authentication Protocol
  for IoT Devices in an Edge-Cloud Environment",cs
"Accurate and Reliable Forecasting using Stochastic Differential
  Equations",cs
Fault-Tolerant Routing in Hypercube Networks by Avoiding Faulty Nodes,cs
"""Love is as Complex as Math"": Metaphor Generation System for Social
  Chatbot",cs
"SIGNED: A Challenge-Response Based Interrogation Scheme for Simultaneous
  Watermarking and Trojan Detection",cs
"A Markerless Deep Learning-based 6 Degrees of Freedom PoseEstimation for
  with Mobile Robots using RGB Data",cs
Belief Propagation List Ordered Statistics Decoding of Polar Codes,cs
"Reinforcement Learning of Risk-Constrained Policies in Markov Decision
  Processes",cs
The high-order block RIP for non-convex block-sparse compressed sensing,cs
"An Upper Bound for Minimum True Matches in Graph Isomorphism with
  Simulated Annealing",cs
CONNA: Addressing Name Disambiguation on The Fly,cs
"Feature Relevance Determination for Ordinal Regression in the Context of
  Feature Redundancies and Privileged Information",cs
Lidar Point Cloud Guided Monocular 3D Object Detection,cs
Online Convex Matrix Factorization with Representative Regions,cs
Workflow environments for advanced cyberinfrastructure platforms,cs
"Gradient Descent-Ascent Provably Converges to Strict Local Minmax
  Equilibria with a Finite Timescale Separation",cs
"Pairwise Interactive Graph Attention Network for Context-Aware
  Recommendation",cs
PsychFM: Predicting your next gamble,cs
On the Decidability of Termination for Polynomial Loops,cs
On The Fly Diffie Hellman for IoT,cs
"Robust Odometry and Mapping for Multi-LiDAR Systems with Online
  Extrinsic Calibration",cs
Computer classification of linear codes,cs
Intrinsic dimension estimation for locally undersampled data,cs
"Unsupervised Learning of Global Registration of Temporal Sequence of
  Point Clouds",cs
SGD Learns One-Layer Networks in WGANs,cs
Discovering and Interpreting Conceptual Biases in Online Communities,cs
Aerial-Ground Interference Mitigation for Cellular-Connected UAV,cs
"Unsupervised Domain Adaptation with Temporal-Consistent Self-Training
  for 3D Hand-Object Joint Reconstruction",cs
Visualizing the Invisible: Occluded Vehicle Segmentation and Recovery,cs
Learning to Perturb Word Embeddings for Out-of-distribution QA,cs
Improving Captioning for Low-Resource Languages by Cycle Consistency,cs
"A Novel Visualization System of Using Augmented Reality in Knee
  Replacement Surgery: Enhanced Bidirectional Maximum Correntropy Algorithm",cs
Heuristics for Quantum Compiling with a Continuous Gate Set,cs
