text,label
"@Hicks_206 @realDonaldTrump The alert came from a state agency, so the appropriate person to question would be the… https://t.co/VA1VJOt4sb",0
@VodafoneIN Waiting for call,0
"@Safaricom_Care I have been using it but has been dormant for six months but I have the sim card, kindly call me on 0742850939",0
Woah! https://t.co/Edx7ldYuKD,0
@HondaCustSvc someone has gotten it touch with me.,0
@davidfrum Now this is just like T-ball.,0
"@TprPurdy @poe351 @TrooperBenKHP @TrooperBob_SCHP @KingofKSP That I do, dim my lights when another vehicle is approaching me",0
@IHGService I'm at Crowne Plaza Battersea for 8 nights. Can I swap one in the middle of stay for a night at Holiday Inn in Bath U.K.??,0
@motorolaindia @Moto_Support by when the g4+ will get the update to oreo ?,0
I've completed the daily quest in Paradise Island 2! #GameInsight #ParadiseIsland2 https://t.co/T7TEKwLD64,0
"Care package courtesy of Sean at @bitbybitstudios. Some Fiz coasters and a couple Portland, OR local beers. Thanks,… https://t.co/ko2xA3eXjO",0
That being said most pages get crumpled up and thrown in the trash lol,0
@Trendlaser_ That doesn’t sound very strong. Thanks for the analogy! #nowyouknow #earthquake,0
@KilaMarieOnline @YouTube Thanks boo�� miss you!,0
@SEPTA_SOCIAL de-lousing the benches? https://t.co/s6uQOEEJQF,0
@FitbitSupport when are you launching new clock faces for Indian market,0
Bitch DISGUSTING https://t.co/K7JnPkXbNA,0
"Trunzo has been wearing a pair of Raf Simons designed Adidas Ozweegos, which he describes as “quite geriatric.” I W… https://t.co/8dZgXgZGT6",0
"@Superdry_Care Yesterday, 20th July.",0
"@CaptGiggleFart @DecentAss Get them a dachshund named Richard, place in box. SFW and still a dick in a box!!",0
Oh a thread. https://t.co/HGpPna28zd,0
@goodreads Love Sevenwaters Saga,0
@Island_Ratz Self deception is the Original Sin you can commit and be responsible for against your own good. https://t.co/7qmfGztb9G,0
@betabay @badcrypto @tonilanec @mahbodmoghadam @scottrogers What’s sad is that @coinbase led an initiative back in… https://t.co/YkFK5NqNCN,0
"@RealJoltCola @subethasoftware Old Jolt was 12 ounce cans at 71.2 mg, so I have read. If new Jolt is 16 ounce cans… https://t.co/T59P8166ln",0
Join noosa’s Cream of the Crop fan club! Fun games and free swag til the cows come home! Click here to sign up https://t.co/X19t4y37PR,0
@WhirlpoolCare Thanks for the response. This isn't the complete model no? https://t.co/LTIoE2AtY6,0
I’ve been playing the sims practically nonstop for ten hours and life is going swell for them. A thread.,0
@PaintDusting I know what you're going through and I'm here to support you.,0
NASA TV to Air Russian Spacewalk at the International Space Station via NASA https://t.co/gQeW7FIksN,0
@hulu @hulu_support yall should get House MD since netflix dropped that one too,0
"@Safaricom_Care Hi there, if ai want a paybill gor my wedding support collection, what are the requirements?",0
@FC_Help   i need to check my order,0
Watching #AChristmasPrince again why you ask? No idea,0
Please tell me I'm not the only person who thinks a pad or tape on Brady's hand magically makes that pass stick to… https://t.co/42jfJLYRJQ,0
"@British_Airways It's working, now, it was down across 4 different connections and 4 different devices.",0
@WildeAndTausch I liked it when Jennings misspoke and referred to our coach as ‘Mark McCarthy’ ��,0
@smod4real In no way is an American marrying into the British royal family disrespectful to America today.,0
@EASPORTSFIFA @AntoGriezmann @sterling7 Guess what? 150k (which is enough to buy like 12 shitty informs) wasted on… https://t.co/gOdKW14Mxy,0
"@WoolyToots Couldn't agree more! ""Hey, this smells revolting; I'm gonna be sick...wanna smell it?""",0
@DomieBoule This was the doll at ghop when I was there,0
"@AskeBay hey, how can someone open a case against me the seller if the estimate time of delivery is Dec 19- Dec 27?",0
"@realDonaldTrump - did you watch a different program? in reality the opposite happened, you mouthpiece refuses to… https://t.co/49RYOnJMVU",0
@SouthwestAir Status FINALLY came through.,0
@AmyGlynn15 Amazing point. I have settings on my phone for that. I’m sure I’m not alone. I wonder if FSA can disabl… https://t.co/luY1sFYwld,0
"@BridgetMarie The Notebook. Actually, any Nicholas Sparks movie. #benevolentsexism",0
@MACcosmetics And how do I do that? Can you send me an email address pls?,0
Finished my first semester with a 4.0������,0
Looks tasty! Going to share with everyone I know #FebrezeONE #sponsored https://t.co/4AQI53npei,0
@thoch99 Ayyy thanks!!,0
@flowering_rebel I mean you already have 2/3 of mine haha,0
@LUjoshit I didn’t need this mental image pls take it back,0
@AirAsiaSupport Is flight AK363 from Surabaya to Kuala Lumpur at 20:50 still operating?,0
"@NortonSupport I don't know exactly what it is, had my IT guy purge your spam. Are you a Jehovah's Witness?",0
