text,label
@BestBuySupport Look at both images,0
@OffTheRails42 We certainly can! What item are you looking for? Do you know the size you require &amp; the stores you're able to visit? Thanks!,0
Why is this @S1lvrr https://t.co/3xi6abRyPn,0
@JakeGuti should be happy in the morning.,0
@awelfle I think the two are mutually exclusive.,0
@blackanddecker is the lbxr2020-ope compatible with lst1018 which uses lb018-ope?,0
@lovatosxdrew My relapse is in full swing. Trying hard to break through.,0
"@EmpressVnyc @TotalDivas Das true, but on the other hand, you know she really really just wants John, so you wouldn… https://t.co/Ntq5X1QEvw",0
"Play Now You're Winning, No Kidding #instantwingame! Chance to win up to $50! #kids #toys https://t.co/zFum0k2ZJh via @SYWSweeps",0
"@DICKS Can you help me find any of the below style numbers in SZ 13 Mens 310805-102, 528895-007, 306008-013, 378037-117",0
Russia’s Biggest Bank Pilots Money Transfer on an IBM Blockchain https://t.co/qzoK1u54wz,0
@XboxSupport is Xbox gonna be showing the super bowl again like last year?,0
.@Crumpocolypse : “don’t ever buy me a surprise car for Christmas. Me : “k” #Christmastime #Advertising,0
@Yelp @yelpsupport can you add a filter to show which businesses have changing tables?! #nycbabyproblems,0
@BootsHelp how do I replace my lost boots card please? #Help,0
@FC_Help looking for models / actors or dancers ? Olivier,0
"@StateFarm Watkinsville, GA Agent and UGA superfan featured in this article @CFBPlayoff @UGAAthletics https://t.co/GWj8DvgTek",0
@MACcosmetics when is the dua lipa lipglass gonna be available in the uk ?,0
@chanceperez I know exactly how you feel :( is that why you can crash and take a nap anywhere?,0
"@AaronJBonner I've literally had a decade of practice, so I'm pretty good (and OLD, good lord)",0
"@barefootboomer I’m guessing Trump wants to see tanks and armor, aircraft and MLRS going down Pennsylvania Ave. I c… https://t.co/heefv4wxpp",0
@EliteForsberg9 Sheesh. A pregame glass smacker. The worst.,0
"emotional me is so lame, i hate her",0
@SouthwestAir I would like to confirm I have a reservation for my cat.,0
"Thanks to Ken at @VWChicago for taking such good care of my Beetle, ""Maggie""!! Your Service Dept is the BEST!! @VW https://t.co/bof6iarwPO",0
@AbsolutLIBRA I agree!,0
so excited for this it's unreal!! https://t.co/SsALUcG79T,0
Anyone having issues with their #Giulia @AlfaRomeoCareUK @AlfaRomeoUSA #Alfaromeo if you are I would be interested 2 know #caranddriver,0
@EE Thank you for your prompt reply!,0
@TheMysteryofGF Have you ever used Amino? For GF or SU?,0
"@AmericanAir If there were pictures of meals available for reserving meals in advance, that would make it so much easier to decide.",0
@FordMustang Definitely a GT model ��,0
"I'm giving away something for you on @Listia: Brand new keychain, ""When I saw you I fel. Get it here - https://t.co/rcU1grn3dU",0
I just gave 5 stars to Sunshine at @neimanmarcus for the great service I received!,0
@hm would you have this in an XL in any central London stores ? https://t.co/LXJQATmL7b,0
@WalkingDead_AMC Bet he got bit when he was helping that guy. That's why he wanted Negan to kill him.,0
I've completed the daily quest in Paradise Island 2! #GameInsight #ParadiseIsland2 https://t.co/T7TEKwLD64,0
Really?! https://t.co/HRYRBeWbrj,0
Really super inconvenient @SouthwestAir for losing my luggage.,0
"@DisneyParks @WaltDisneyWorld Watching from Pensacola, FL!!",0
