text,label
Validating IP Prefixes and AS-Paths with Blockchains,cs
A Comprehensive Study on Deep Learning Bug Characteristics,cs
"Short-Term and Long-Term Context Aggregation Network for Video
  Inpainting",cs
"Nonmonotonic Inferences with Qualitative Conditionals based on Preferred
  Structures on Worlds",cs
"Knowledge Graph Driven Approach to Represent Video Streams for
  Spatiotemporal Event Pattern Matching in Complex Event Processing",cs
Analyzing and Learning from User Interactions for Search Clarification,cs
Grasp-type Recognition Leveraging Object Affordance,cs
"Representation-Optimal Multi-Robot Motion Planning using Conflict-Based
  Search",cs
Object-Centric Representation Learning for Video Question Answering,cs
Unified Representation Learning for Efficient Medical Image Analysis,cs
An Analysis of 35+ Million Jobs of Travis CI,cs
"Pseudo Polynomial Size LP Formulation for Calculating the Least Core
  Value of Weighted Voting Games",cs
"Fast Generation of High Fidelity RGB-D Images by Deep-Learning with
  Adaptive Convolution",cs
"Companion Surface of Danger Cylinder and its Role in Solution Variation
  of P3P Problem",cs
Clustering via torque balance with mass and distance,cs
Robust Temporal Difference Learning for Critical Domains,cs
Quantitative Evaluations on Saliency Methods: An Experimental Study,cs
On Posterior Collapse and Encoder Feature Dispersion in Sequence VAEs,cs
An Attention Mechanism for Musical Instrument Recognition,cs
Linear rankwidth meets stability,cs
"DR.SGX: Hardening SGX Enclaves against Cache Attacks with Data Location
  Randomization",cs
No-Go Theorems for Distributive Laws,cs
"Evaluating Metrics for Standardized Benchmarking of Remote Presence
  Systems",cs
Software Engineering Meets Deep Learning: A Mapping Study,cs
Deep neural network or dermatologist?,cs
"iASiS Open Data Graph: Automated Semantic Integration of
  Disease-Specific Knowledge",cs
"""Love is as Complex as Math"": Metaphor Generation System for Social
  Chatbot",cs
"The Penetration of Internet of Things in Robotics: Towards a Web of
  Robotic Things",cs
"A Heuristic Algorithm Based on Tour Rebuilding Operator for the
  Traveling Salesman Problem",cs
RAFT: Recurrent All-Pairs Field Transforms for Optical Flow,cs
Learning to Perturb Word Embeddings for Out-of-distribution QA,cs
Interactive Narrative in Virtual Reality,cs
Touch-based Curiosity for Sparse-Reward Tasks,cs
"Automatic Hierarchical Classification of Kelps using Deep Residual
  Features",cs
"Mixture Complexity and Its Application to Gradual Clustering Change
  Detection",cs
"User Session Identification Based on Strong Regularities in
  Inter-activity Time",cs
Incremental Adaptive Attack Synthesis,cs
"Shop The Look: Building a Large Scale Visual Shopping System at
  Pinterest",cs
"Predicting Future Pedestrian Motion in Video Sequences using Crowd
  Simulation",cs
Knowledge-based Biomedical Data Science 2019,cs
2-Dimensional Palindromes with $k$ Mismatches,cs
Photorealistic Style Transfer via Wavelet Transforms,cs
A Game-Theoretic Approach to Covert Communications,cs
Semantic Object Accuracy for Generative Text-to-Image Synthesis,cs
"Efficient size estimation and impossibility of termination in uniform
  dense population protocols",cs
Designing an Android Application for Bills Segregation,cs
"Differential Flatness as a Sufficient Condition to Generate Optimal
  Trajectories in Real Time",cs
Explainable Deep One-Class Classification,cs
"An efficient algorithm to decide periodicity of $b$-recognisable sets
  using LSDF convention",cs
"From Solving a Problem Boldly to Cutting the Gordian Knot: Idiomatic
  Text Generation",cs
"On the Differential Linear Connectivity Table of Vectorial Boolean
  Functions",cs
"Dronecrypt - An Efficient Cryptographic Framework for Small Aerial
  Drones",cs
Multi-Activation Hidden Units for Neural Networks with Random Weights,cs
