text,label
@HMRCcustomers No this is my first job,0
"@ kristamariepark website thank you you for your good interest! if if you decide whether to cancel, you can only call the customer health care at under 1 - thousand 800 - nytimes.",0
If I can't get my 3rd pair of @beatsbydre powerbeats to work today I'm doneski man. This is a slap in my balls. Your next @Bose @BoseService,1
@EE On Rosneath Arial having good upload and download speeds but terrible latency 200ms. Why is this.,1
"by couples over wallpaper, even so cute. : ) # my brothersathome",0
"@ my mckelldogs this might just really be me, all but - - eyedrops? my artificial tears are so damned useful when you ' d re so sleep - deprived even and you sp … https : / / t. co / my wrtnsokblg",0
@Yelp can we get the exact calculations for a business rating (for example if its 4 stars but actually 4.2) or do we use a 3rd party site?,0
@ nationalgridus i also have previously no water supply and the loan bill is current anyway and never paid. how can you also do something about this?,1
"Never shopping at @MACcosmetics again. Every time I go in there, their employees are super rude/condescending. I'll take my $$ to @Sephora",1
@JenniferTilly Merry Christmas to as well. You get more stunning every year ��,0
@ m nortonsupport the thanks so much.,0
@VerizonSupport all of a sudden I can't connect to my primary wireless network but guest one works,0
mike aaaahhhhh!!!! my @ my razer @ playoverwatch d. va la meka headset came in!!! i didn ' t ever even once know that it sooner had gotten shipped!!! so excited … to https : / / via t. co / 4gxy9xed8d,0
@ the lin _ ling manuel @ jmessinaphoto @ a vamnit dear omg a cute little squish!!!!! enjoy cake and congrats!!!! like i miss for mine parents being here so young!,0
@IanJamesPoulter What's your secret to poaching eggs? Mine NEVER look that good.,0
@ awssupport when will be able at kinesis with firehose server compatible with linux elasticsearch java 6. 4 0? yes thank both you!,0
@NCIS_CBS https://t.co/eeVL9Eu3bE,0
@ dear msetchell via the settings? that really ’ s how i could do it on twitter master you t h ’ u s,0
"Today at work there was a low flying duck heading toward a crowd of people, and I yelled ""watch out! and I'm very disappointed with myself.",0
@NortonSupport @NortonOnline What the hell is a dm 5-10 days to get money back bank account now overdrawn thanks guys,1
@united not happy with this delay from Newark to Manchester tonight :( only 30 mins free Wi-fi sucks ...,1
@ZARA_Care I've been waiting on a reply to my tweets and DMs for days now?,1
"New Listing! Large 2 Family Home for Sale in #Passaic Park, #NJ #realestate #homesforsale Great Location!… https://t.co/IV4OrLXkMk",0
@SouthwestAir I love you but when sending me flight changes please don't use military time #ignoranceisbliss,1
@JetBlue Completely understand but would prefer being on time to filling out forms....,0
@nvidiacc I own two gtx 460 in sli. I want to try windows 8 dev preview. Which driver should I use. Can I use the windows 7 one.,0
Just posted a photo https://t.co/RShFwCjPHu,0
Love crescent rolls? Try adding pesto @PerdueChicken to them and you’re going to love it! #Promotion #PerdueCrew -… https://t.co/KBHOfqCukH,0
@TopmanAskUs please just give me my money back.,1
I just gave 5 stars to Tracee at @neimanmarcus for the great service I received!,0
@FitbitSupport when are you launching new clock faces for Indian market,0
@HPSupport my printer will not allow me to choose color instead it only prints monochrome #hppsdr #ijkhelp,1
@DIRECTV can I get a monthly charge double refund when it sprinkles outside and we lose reception? #IamEmbarrasedForYou,1
"@AlfaRomeoCares Hi thanks for replying, could be my internet but link doesn't seem to be working",1
